project_name,category,budget_forecast,latest_budget_changes,total_budget_changes
2014-05,Wastewater Treatment,182980960,-1915400,-9736936
2015-02,Wastewater Treatment,168751769,-14229191,-9736936
2014-01,Wastewater Treatment,113176229,-52501721,-35664433
2014-01,Parks,147488088,-3858150,18216708
2018-03,Schools,99997237,-309044,-7411755
2016-01,Streets and Roadways,38518670,,106000
2016-06,Streets and Roadways,38592670,74000,106000
2016-11,Streets and Roadways,38617670,25000,106000
2017-04,Streets and Roadways,38642670,25000,106000
2017-09,Streets and Roadways,38624670,-18000,106000
2018-03,Streets and Roadways,38624670,0,106000
2016-01,Streets and Roadways,29411000,,-18498107
2016-06,Streets and Roadways,29411000,0,-18498107
2016-11,Streets and Roadways,10134893,-19276107,-18498107
2014-05,Parks,155888088,8400000,18216708
2017-04,Streets and Roadways,10375893,241000,-18498107
2017-09,Streets and Roadways,10016563,-359330,-18498107
2018-03,Streets and Roadways,10912893,896330,-18498107
2016-11,Streets and Roadways,109356670,11843670,602670
2017-04,Streets and Roadways,98740670,-10616000,602670
2017-09,Streets and Roadways,98115670,-625000,602670
2018-03,Streets and Roadways,98115670,0,602670
2017-09,Streets and Roadways,54138000,147000,147000
2018-03,Streets and Roadways,54138000,0,147000
2018-03,Bridges,47279974,79087,79087
2015-02,Parks,170586053,14697965,18216708
2017-09,"Bridges, Streets and Roadways",58756062,300,86300
2018-03,"Bridges, Streets and Roadways",58842062,86000,86300
2017-09,"Bridges, Streets and Roadways",56521020,-274000,-275000
2018-03,"Bridges, Streets and Roadways",56520020,-1000,-275000
2016-11,Other Government Facilities,33026000,0,73142823
2017-04,Other Government Facilities,101269000,68243000,73142823
2017-09,Other Government Facilities,108799823,7530823,73142823
2018-03,Other Government Facilities,106168823,-2631000,73142823
2016-11,Other Government Facilities,80499000,0,167332621
2017-04,Other Government Facilities,126411000,45912000,167332621
2015-08,Parks,175098274,4512221,18216708
2017-09,Other Government Facilities,233584544,107173544,167332621
2018-03,Other Government Facilities,247831621,14247077,167332621
2017-04,Other Government Facilities,47040232,3730232,14193747
2017-09,Other Government Facilities,39623232,-7417000,14193747
2018-03,Other Government Facilities,57503747,17880515,14193747
2016-06,Other Government Facilities,29341000,,6558000
2016-11,Other Government Facilities,29341000,0,6558000
2017-04,Other Government Facilities,24698000,-4643000,6558000
2017-09,Other Government Facilities,34403887,9705887,6558000
2018-03,Other Government Facilities,35899000,1495113,6558000
2016-01,Parks,171240124,-3858150,18216708
2016-06,Water Supply,43347000,,1097000
2016-11,Water Supply,43902000,555000,1097000
2017-04,Water Supply,44444000,542000,1097000
2017-09,Water Supply,44444000,0,1097000
2018-03,Water Supply,44444000,0,1097000
2016-06,Industrial Development,53324000,,892000
2016-11,Industrial Development,55495000,2171000,892000
2017-04,Industrial Development,54216000,-1279000,892000
2017-09,Industrial Development,54216000,0,892000
2018-03,Industrial Development,54216000,0,892000
2016-06,Parks,171240124,0,18216708
2016-06,Industrial Development,38153000,,1274000
2016-11,Industrial Development,39427000,1274000,1274000
2017-04,Industrial Development,39427000,0,1274000
2017-09,Industrial Development,39427000,0,1274000
2018-03,Industrial Development,39427000,0,1274000
2016-06,Sewers,34696000,,885000
2016-11,Sewers,34892804,196804,885000
2017-04,Sewers,35880000,987196,885000
2017-09,Sewers,35581000,-299000,885000
2018-03,Sewers,35581000,0,885000
2016-11,Parks,169038757,-2201367,18216708
2016-11,Streets and Roadways,30359852,484348,9264496
2017-04,Streets and Roadways,37375000,7015148,9264496
2017-09,Streets and Roadways,39140000,1765000,9264496
2018-03,Streets and Roadways,39140000,0,9264496
2016-06,Streets and Roadways,31679000,,-856000
2016-11,Streets and Roadways,30718000,-961000,-856000
2017-04,Streets and Roadways,30718000,0,-856000
2017-09,Streets and Roadways,30823000,105000,-856000
2018-03,Streets and Roadways,30823000,0,-856000
2016-06,Water Supply,43762000,,1250000
2017-04,Parks,168098859,-939898,18216708
2016-11,Water Supply,45016000,1254000,1250000
2017-04,Water Supply,45013000,-3000,1250000
2017-09,Water Supply,45012000,-1000,1250000
2018-03,Water Supply,45012000,0,1250000
2016-06,Wastewater Treatment,45499538,,-4390850
2016-11,Wastewater Treatment,46208326,708788,-4390850
2017-04,Wastewater Treatment,41557728,-4650598,-4390850
2017-09,Wastewater Treatment,47108394,5550666,-4390850
2018-03,Wastewater Treatment,41108688,-5999706,-4390850
2017-09,Bridges,9897000,0,486000
2017-09,Parks,167755190,-343669,18216708
2018-03,Bridges,10383000,486000,486000
2016-06,Streets and Roadways,39266138,,-15767639
2016-11,Streets and Roadways,41262989,1996850,-15767639
2017-04,Streets and Roadways,38628535,-2634454,-15767639
2017-09,Streets and Roadways,22382139,-16246396,-15767639
2018-03,Streets and Roadways,23498499,1116360,-15767639
2016-06,Streets and Roadways,63839662,,-23551751
2016-11,Streets and Roadways,63407662,-432000,-23551751
2017-04,Streets and Roadways,40372464,-23035197,-23551751
2017-09,Streets and Roadways,40672495,300031,-23551751
2018-03,Parks,169562946,1807757,18216708
2018-03,Streets and Roadways,40287911,-384584,-23551751
2017-09,Parks,312992000,0,35412421
2018-03,Parks,348404421,35412421,35412421
2016-06,Bridges,125044043,,-1399038
2016-11,Bridges,124900005,-144039,-1399038
2017-04,Bridges,122820005,-2080000,-1399038
2017-09,Bridges,122897559,77554,-1399038
2018-03,Bridges,123645005,747446,-1399038
2018-03,"Bridges, Streets and Roadways",39299321,249321,249321
2017-09,"Bridges, Streets and Roadways",358691000,0,-952257
2014-05,Wastewater Treatment,106711230,-6464999,-35664433
2013-09,Bridges,374745267,,-26969866
2018-03,"Bridges, Streets and Roadways",357738743,-952257,-952257
2016-06,"Bridges, Streets and Roadways",51665107,,647260
2016-11,"Bridges, Streets and Roadways",51547367,-117740,647260
2017-04,"Bridges, Streets and Roadways",52187367,640000,647260
2017-09,"Bridges, Streets and Roadways",52313107,125740,647260
2018-03,"Bridges, Streets and Roadways",52312367,-740,647260
2016-06,Industrial Development,26776342,,-4796000
2016-11,Industrial Development,26824487,48145,-4796000
2017-04,Industrial Development,21312417,-5512070,-4796000
2017-09,Industrial Development,21023561,-288856,-4796000
2014-01,Bridges,364637687,-10107580,-26969866
2018-03,Industrial Development,21980342,956781,-4796000
2016-06,Industrial Development,50941375,,739046
2016-11,Industrial Development,42407946,-8533429,739046
2017-04,Industrial Development,51038881,8630935,739046
2017-09,Industrial Development,50941375,-97506,739046
2018-03,Industrial Development,51680421,739046,739046
2016-06,Schools,73055219,,12783582
2016-11,Schools,73062791,7572,12783582
2017-04,Schools,73068357,5566,12783582
2018-03,Schools,85838801,12770444,12783582
2014-05,Bridges,328144413,-36493274,-26969866
2016-06,Schools,116316338,,-12524446
2016-11,Schools,116459521,143183,-12524446
2017-04,Schools,116587494,127973,-12524446
2018-03,Schools,103791892,-12795602,-12524446
2016-06,IT,29011745,,295439
2016-11,IT,29011745,0,295439
2017-04,IT,29011745,0,295439
2017-09,IT,29011745,0,295439
2018-03,IT,29307184,295439,295439
2017-09,Water Supply,1245612532,68947854,277803037
2015-02,Bridges,340072605,11928192,-26969866
2018-03,Water Supply,1454467715,208855183,277803037
2017-04,Streets and Roadways,1905650678,-4688437,21219461
2017-09,Streets and Roadways,1930441114,24790436,21219461
2018-03,Streets and Roadways,1931558576,1117462,21219461
2017-09,"Bridges, Streets and Roadways",67602000,0,7241394
2018-03,"Bridges, Streets and Roadways",74843394,7241394,7241394
2017-09,Streets and Roadways,24984000,0,0
2018-03,Streets and Roadways,24984000,0,0
2016-11,Sanitation,178760628,,41411915
2017-04,Sanitation,178760628,0,41411915
2015-08,Bridges,665973341,325900736,-26969866
2017-09,Sanitation,178760628,0,41411915
2018-03,Sanitation,220172543,41411915,41411915
2016-11,Industrial Development,665168171,,586229
2017-04,Industrial Development,665168171,0,586229
2018-03,IT,43919632,-2138016,0
2017-09,Industrial Development,665168171,0,586229
2018-03,Industrial Development,665754400,586229,586229
2016-11,Industrial Development,81159381,,1072860
2017-04,Industrial Development,81159381,0,1072860
2017-09,Industrial Development,81159381,0,1072860
2016-01,Bridges,384115608,-281857733,-26969866
2018-03,Industrial Development,82232241,1072860,1072860
2016-11,Schools,71746188,,-10649364
2017-04,Schools,77763611,6017423,-10649364
2018-03,Schools,61096824,-16666787,-10649364
2016-11,Schools,43640080,,-7251714
2017-04,Schools,40336080,-3304000,-7251714
2018-03,Schools,36388366,-3947714,-7251714
2016-11,Schools,105770072,,-1556342
2017-04,Schools,105744368,-25704,-1556342
2018-03,Schools,104213730,-1530638,-1556342
2016-06,Bridges,398990918,14875310,-26969866
2016-11,Schools,34937390,,1923145
2017-04,Schools,38797242,3859852,1923145
2018-03,Schools,36860535,-1936707,1923145
2016-11,Streets and Roadways,,,-250676
2017-04,Streets and Roadways,28932000,,-250676
2017-09,Streets and Roadways,26982000,-1950000,-250676
2018-03,Streets and Roadways,28681324,1699324,-250676
2017-04,IT,43919632,,0
2017-09,IT,46057648,2138016,0
2017-09,Sanitation,291383225,-1066575,-1066575
2016-11,Bridges,373013918,-25977000,-26969866
2018-03,Sanitation,291383225,0,-1066575
2017-04,Industrial Development,5866058,,31633942
2017-09,Industrial Development,37500000,31633942,31633942
2018-03,Industrial Development,37500000,0,31633942
2017-04,Industrial Development,84520367,,0
2017-09,Industrial Development,84520367,0,0
2018-03,Industrial Development,84520367,0,0
2017-04,Schools,57761589,,1919399
2018-03,Schools,59680988,1919399,1919399
2017-09,Wastewater Treatment,320921000,0,114610400
2018-03,Bridges,347775401,12971481,-26969866
2018-03,Wastewater Treatment,435531400,114610400,114610400
2017-04,Bridges,300246942,,34069000
2017-09,Bridges,300871942,625000,34069000
2018-03,Bridges,334315942,33444000,34069000
2017-04,"Parks, Streets and Roadways",42379126,,74530
2017-09,"Parks, Streets and Roadways",42329126,-50000,74530
2018-03,"Parks, Streets and Roadways",42453656,124530,74530
2017-09,Streets and Roadways,50084283,1,-15486
2018-03,Streets and Roadways,50068796,-15487,-15486
2017-09,"Bridges, Streets and Roadways",65500000,0,0
2013-09,Bridges,270351393,,-7913373
2018-03,"Bridges, Streets and Roadways",65500000,0,0
2017-04,Bridges,112110043,,20052730
2017-09,Bridges,130828094,18718051,20052730
2018-03,Bridges,132162773,1334679,20052730
2017-04,"Bridges, Streets and Roadways",361933233,,26213000
2017-09,"Bridges, Streets and Roadways",373837381,11904148,26213000
2018-03,"Bridges, Streets and Roadways",388146233,14308852,26213000
2017-09,Public Safety and Criminal Justice,28796000,0,0
2018-03,Public Safety and Criminal Justice,28796000,0,0
2017-09,Water Supply,813000,,-813000
2015-02,Wastewater Treatment,107854527,1143297,-35664433
2014-01,Bridges,251463833,-18887560,-7913373
2018-03,Water Supply,0,-813000,-813000
2017-09,Public Safety and Criminal Justice,33506000,,-3229000
2018-03,Public Safety and Criminal Justice,30277000,-3229000,-3229000
2017-09,Water Supply,40241000,,0
2018-03,Water Supply,40241000,0,0
2017-09,Water Supply,33010000,,0
2018-03,Water Supply,33010000,0,0
2017-09,Industrial Development,30933000,,0
2018-03,Industrial Development,30933000,0,0
2017-09,Bridges,126613000,,0
2014-05,Bridges,274673840,23210007,-7913373
2017-09,Industrial Development,75466000,,0
2018-03,Industrial Development,75466000,0,0
2017-09,Industrial Development,71842000,,0
2018-03,Industrial Development,71842000,0,0
2017-09,Industrial Development,26914000,,0
2018-03,Industrial Development,26914000,0,0
2017-09,"Industrial Development, Streets and Roadways",25482000,,0
2018-03,"Industrial Development, Streets and Roadways",25482000,0,0
2017-09,Industrial Development,25743000,,0
2018-03,Industrial Development,25743000,0,0
2015-02,Bridges,268887840,-5786000,-7913373
2017-09,Water Supply,29230000,,0
2018-03,Water Supply,29230000,0,0
2017-09,Water Supply,30308000,,0
2018-03,Water Supply,30308000,0,0
2017-09,Water Supply,31354000,,0
2018-03,Water Supply,31354000,0,0
2017-09,Industrial Development,31529000,,3151000
2018-03,Industrial Development,34680000,3151000,3151000
2017-09,Industrial Development,37793000,,0
2018-03,Industrial Development,37793000,0,0
2015-08,Bridges,267328840,-1559000,-7913373
2018-03,Bridges,126613000,0,0
2017-09,Public Safety and Criminal Justice,71000000,,4845700
2018-03,Public Safety and Criminal Justice,75845700,4845700,4845700
2017-09,Other Government Facilities,33544000,,0
2018-03,Other Government Facilities,33544000,0,0
2017-09,Industrial Development,26280000,,0
2018-03,Industrial Development,26280000,0,0
2017-09,Other Government Facilities,31529000,,0
2018-03,Other Government Facilities,31529000,0,0
2017-09,Water Supply,34354000,,0
2016-01,Bridges,267328840,0,-7913373
2018-03,Water Supply,34354000,0,0
2017-09,Streets and Roadways,26329000,,0
2018-03,Streets and Roadways,26329000,0,0
2017-09,Sewers,50009000,,0
2018-03,Sewers,50009000,0,0
2017-09,Sewers,46437000,,0
2018-03,Sewers,46437000,0,0
2017-09,Sewers,69282000,,0
2018-03,Sewers,69282000,0,0
2017-09,Sewers,59922000,,0
2016-06,Bridges,267636532,307692,-7913373
2018-03,Sewers,59922000,0,0
2017-09,Sewers,62967000,,0
2018-03,Sewers,62967000,0,0
2017-09,Industrial Development,62013000,,0
2018-03,Industrial Development,62013000,0,0
2017-09,Sewers,27129000,,0
2018-03,Sewers,27129000,0,0
2017-09,Sewers,27024000,,0
2018-03,Sewers,27024000,0,0
2017-09,Sewers,28689000,,0
2016-11,Bridges,267239532,-397000,-7913373
2018-03,Sewers,28689000,0,0
2017-09,Sewers,29694000,,0
2018-03,Sewers,29694000,0,0
2017-09,Sewers,37642120,,5880
2018-03,Sewers,37648000,5880,5880
2017-09,Sewers,30611000,,0
2018-03,Sewers,30611000,0,0
2017-09,Sewers,34313000,,0
2018-03,Sewers,34313000,0,0
2017-09,Other Government Facilities,77176000,,13934000
2017-04,Bridges,267239532,0,-7913373
2018-03,Other Government Facilities,91110000,13934000,13934000
2017-09,Industrial Development,26762800,,1234305
2018-03,Industrial Development,27997104,1234305,1234305
2017-09,Industrial Development,34065971,,-17015749
2018-03,Industrial Development,17050222,-17015749,-17015749
2018-03,Schools,96134471,,
2018-03,Schools,63114450,,
2017-09,Wastewater Treatment,31626944,,-916944
2018-03,Wastewater Treatment,30710000,-916944,-916944
2017-09,Industrial Development,60422401,,0
2017-09,Bridges,267239532,0,-7913373
2018-03,Industrial Development,60422401,0,0
2017-09,"Industrial Development, Public Safety and Criminal Justice",57724000,,-904000
2018-03,"Industrial Development, Public Safety and Criminal Justice",56820000,-904000,-904000
2018-03,Streets and Roadways,49783734,1076302,1076302
2017-09,Streets and Roadways,28670000,,-5234000
2018-03,Streets and Roadways,23436000,-5234000,-5234000
2018-03,Streets and Roadways,41210000,2070000,2070000
2018-03,Streets and Roadways,10482000,-19253000,-19253000
2017-09,Streets and Roadways,38175000,,-12297000
2018-03,Streets and Roadways,25878000,-12297000,-12297000
2018-03,Bridges,262438020,-4801512,-7913373
2017-09,Ferries,77450000,,0
2018-03,Ferries,77450000,0,0
2018-03,Wastewater Treatment,61612778,,
2018-03,Wastewater Treatment,41689486,,
2018-03,Health and Hospitals,289117990,,
2018-03,Public Safety and Criminal Justice,40048000,,
2018-03,Other Government Facilities,59102000,,
2018-03,"Sewers, Streets and Roadways, Water Supply",54300000,,
2018-03,Streets and Roadways,37796000,,
2018-03,Streets and Roadways,60303000,,
2015-08,Wastewater Treatment,111398809,3544282,-35664433
2015-02,Ferries,244317052,-16306318,83455477
2018-03,Streets and Roadways,26399000,,
2018-03,Industrial Development,58786000,,
2018-03,Industrial Development,37039000,,
2018-03,Bridges,64905000,,
2018-03,Other Government Facilities,25844000,,
2018-03,Streets and Roadways,51176000,,
2018-03,Wastewater Treatment,47758000,,
2018-03,Wastewater Treatment,32709000,,
2018-03,Streets and Roadways,53068000,,
2018-03,Public Safety and Criminal Justice,76911099,,
2015-08,Ferries,327552000,83234948,83455477
2018-03,Water Supply,23159000,,
2018-03,Water Supply,27930000,,
2018-03,Water Supply,34476000,,
2018-03,Sanitation,138144000,,
2018-03,Sanitation,37825000,,
2018-03,Streets and Roadways,22225000,,
2018-03,Industrial Development,510854000,,
2018-03,Wastewater Treatment,129607000,,
2018-03,Wastewater Treatment,77008000,,
2018-03,Wastewater Treatment,59181000,,
2016-01,Ferries,331987273,4435273,83455477
2018-03,Wastewater Treatment,1699000,,
2018-03,Wastewater Treatment,49022000,,
2018-03,Wastewater Treatment,37957000,,
2018-03,Wastewater Treatment,29400000,,
2018-03,Wastewater Treatment,38309000,,
2018-03,Wastewater Treatment,0,,
2018-03,"Bridges, Streets and Roadways",250905250,,
2018-03,Streets and Roadways,81709000,,
2018-03,Streets and Roadways,26969000,,
2018-03,Bridges,38321339,,
2016-06,Ferries,347408273,15421000,83455477
2018-03,Bridges,30038945,,
2018-03,Schools,90381391,,
2018-03,Schools,102714402,,
2018-03,Schools,27257969,,
2018-03,Schools,91594829,,
2018-03,Schools,50918140,,
2018-03,Schools,117171000,,
2018-03,"Streets and Roadways, Water Supply",38792000,,
2018-03,Streets and Roadways,74377000,,
2016-11,Ferries,350642273,3234000,83455477
2015-08,"Bridges, Streets and Roadways",198843973,274012,144896605
2017-04,Ferries,348488982,-2153290,83455477
2017-09,Ferries,348374272,-114710,83455477
2018-03,Ferries,344078847,-4295425,83455477
2013-09,Bridges,121788554,,27769441
2017-04,Bridges,336694918,-36319000,-26969866
2014-01,Bridges,153214873,31426319,27769441
2014-05,Bridges,149290834,-3924039,27769441
2015-02,Bridges,145945448,-3345386,27769441
2015-08,Bridges,145132848,-812600,27769441
2016-01,Bridges,146311090,1178242,27769441
2016-06,Bridges,146196027,-115063,27769441
2016-11,Bridges,147340186,1144159,27769441
2017-04,Bridges,148030519,690333,27769441
2017-09,Bridges,144458186,-3572333,27769441
2018-03,Bridges,149557995,5099809,27769441
2016-01,Wastewater Treatment,117901711,6502902,-35664433
2013-09,"Bridges, Streets and Roadways",151775497,,144896605
2014-01,"Bridges, Streets and Roadways",152871246,1095749,144896605
2014-05,"Bridges, Streets and Roadways",195217224,42345978,144896605
2015-02,"Bridges, Streets and Roadways",198569961,3352737,144896605
2016-01,"Bridges, Streets and Roadways",247449773,48605800,144896605
2016-06,"Bridges, Streets and Roadways",268299502,20849730,144896605
2016-11,"Bridges, Streets and Roadways",335764502,67465000,144896605
2017-04,"Bridges, Streets and Roadways",324042015,-11722488,144896605
2017-09,"Bridges, Streets and Roadways",323745502,-296513,144896605
2018-03,"Bridges, Streets and Roadways",296672102,-27073400,144896605
2016-06,Wastewater Treatment,118302224,400513,-35664433
2013-09,Bridges,149425423,,3037698
2014-01,Bridges,158552218,9126795,3037698
2014-05,Bridges,166658497,8106279,3037698
2015-02,Bridges,158427497,-8231000,3037698
2015-08,Bridges,157574497,-853000,3037698
2016-01,Bridges,157174497,-400000,3037698
2016-06,Bridges,157264121,89624,3037698
2016-11,Bridges,152564121,-4700000,3037698
2017-04,Bridges,152564121,0,3037698
2017-09,Bridges,152564121,0,3037698
2016-11,Wastewater Treatment,120287562,1985338,-35664433
2018-03,Bridges,152463121,-101000,3037698
2013-09,Bridges,154193237,,-19171071
2014-01,Bridges,164719707,10526470,-19171071
2014-05,Bridges,259761416,95041709,-19171071
2015-02,Bridges,156552282,-103209134,-19171071
2015-08,Bridges,156552282,0,-19171071
2016-01,Bridges,156420762,-131520,-19171071
2016-06,Bridges,157226414,805652,-19171071
2016-11,Bridges,156886414,-340000,-19171071
2017-04,Bridges,159902681,3016267,-19171071
2017-04,Wastewater Treatment,131065311,10777749,-35664433
2017-09,Bridges,151907419,-7995262,-19171071
2018-03,Bridges,135022166,-16885253,-19171071
2013-09,Bridges,123384000,,-18591382
2014-01,Bridges,121403787,-1980213,-18591382
2014-05,Bridges,147808339,26404552,-18591382
2015-02,Bridges,142097340,-5710999,-18591382
2015-08,Bridges,201932564,59835224,-18591382
2016-01,Bridges,107601529,-94331035,-18591382
2016-06,Bridges,108380157,778628,-18591382
2016-11,Bridges,106791910,-1588247,-18591382
2017-09,Wastewater Treatment,133762688,2697377,-35664433
2017-04,Bridges,106740014,-51896,-18591382
2017-09,Bridges,105436907,-1303107,-18591382
2018-03,Bridges,104792618,-644289,-18591382
2013-09,Bridges,218440431,,-39127152
2014-01,Bridges,202934758,-15505673,-39127152
2014-05,Bridges,206244752,3309994,-39127152
2015-02,Bridges,278258535,72013783,-39127152
2015-08,Bridges,278215782,-42753,-39127152
2016-01,Bridges,163899535,-114316247,-39127152
2016-06,Bridges,166424200,2524664,-39127152
2015-08,Wastewater Treatment,165532447,-3219322,-9736936
2018-03,Wastewater Treatment,130013517,-3749172,-35664433
2016-11,Bridges,181870200,15446000,-39127152
2017-04,Bridges,180527846,-1342353,-39127152
2017-09,Bridges,181436085,908239,-39127152
2018-03,Bridges,179313279,-2122806,-39127152
2013-09,Bridges,109236000,,91034457
