project_name,category,budget_forecast,latest_budget_changes,total_budget_changes
2016-01,Wastewater Treatment,216539412,1741363,29226109
2014-05,"Bridges, Streets and Roadways",27500000,0,13750000
2015-02,"Bridges, Streets and Roadways",27500000,0,13750000
2015-08,"Bridges, Streets and Roadways",27500000,0,13750000
2016-01,"Bridges, Streets and Roadways",27500000,0,13750000
2016-06,"Bridges, Streets and Roadways",27500000,0,13750000
2016-11,"Bridges, Streets and Roadways",45140190,17640190,13750000
2017-04,"Bridges, Streets and Roadways",26732122,-18408068,13750000
2017-09,"Bridges, Streets and Roadways",41250000,14517878,13750000
2018-03,"Bridges, Streets and Roadways",41250000,0,13750000
2013-09,Streets and Roadways,46595000,,26415947
2016-06,Wastewater Treatment,218544079,2004667,29226109
2014-01,Streets and Roadways,47280551,685551,26415947
2014-05,Streets and Roadways,41004540,-6276011,26415947
2015-02,Streets and Roadways,70410218,29405678,26415947
2015-08,Streets and Roadways,122818619,52408401,26415947
2016-01,Streets and Roadways,122217148,-601471,26415947
2016-06,Streets and Roadways,124162148,1945000,26415947
2016-11,Streets and Roadways,124027148,-135000,26415947
2017-04,Streets and Roadways,72002148,-52025000,26415947
2017-09,Streets and Roadways,72952147,949999,26415947
2018-03,Streets and Roadways,73010947,58800,26415947
2016-11,Wastewater Treatment,218126810,-417269,29226109
2013-09,Wastewater Treatment,41800000,,25453660
2014-01,Wastewater Treatment,40200000,-1600000,25453660
2014-05,Wastewater Treatment,42140000,1940000,25453660
2015-02,Wastewater Treatment,54200000,12060000,25453660
2015-08,Wastewater Treatment,53900000,-300000,25453660
2016-01,Wastewater Treatment,53900000,0,25453660
2016-06,Wastewater Treatment,54900000,1000000,25453660
2016-11,Wastewater Treatment,54900000,0,25453660
2018-03,Schools,132668794,13681718,26546912
2017-04,Wastewater Treatment,55000000,100000,25453660
2017-04,Wastewater Treatment,221435079,3308269,29226109
2017-09,Wastewater Treatment,65920000,10920000,25453660
2018-03,Wastewater Treatment,67253660,1333660,25453660
2014-05,Wastewater Treatment,58950000,-650000,19860947
2016-01,Wastewater Treatment,48757259,10407259,19860947
2016-06,Wastewater Treatment,50250000,1492741,19860947
2016-11,Wastewater Treatment,39000000,-11250000,19860947
2017-04,Wastewater Treatment,41000000,2000000,19860947
2017-09,Wastewater Treatment,60697621,19697621,19860947
2018-03,Wastewater Treatment,58860947,-1836673,19860947
2015-02,Wastewater Treatment,25804000,5952000,29611000
2017-09,Wastewater Treatment,220461167,-973911,29226109
2015-08,Wastewater Treatment,27688000,1884000,29611000
2016-01,Wastewater Treatment,27688000,0,29611000
2016-06,Wastewater Treatment,27738000,50000,29611000
2016-11,Wastewater Treatment,28144000,406000,29611000
2017-04,Wastewater Treatment,51380000,23236000,29611000
2017-09,Wastewater Treatment,49463000,-1917000,29611000
2018-03,Wastewater Treatment,49463000,0,29611000
2015-08,Sewers,34515000,0,12124000
2016-01,Sewers,34513700,-1300,12124000
2016-06,Sewers,34513700,0,12124000
2018-03,Wastewater Treatment,227360176,6899009,29226109
2016-11,Sewers,39968000,5454300,12124000
2017-04,Sewers,50180000,10212000,12124000
2017-09,Sewers,46639000,-3541000,12124000
2018-03,Sewers,46639000,0,12124000
2015-08,Sewers,58123000,1289000,4424000
2016-01,Sewers,32075000,-26048000,4424000
2016-06,Sewers,32145000,70000,4424000
2016-11,Sewers,46054000,13909000,4424000
2017-04,Sewers,47649000,1595000,4424000
2017-09,Sewers,61258000,13609000,4424000
2013-09,Wastewater Treatment,463790739,,-14341168
2018-03,Sewers,61258000,0,4424000
2016-11,Sewers,44380200,1412500,1984300
2017-04,Sewers,44570000,189800,1984300
2017-09,Sewers,42970,-44527030,1984300
2018-03,Sewers,44952000,44909030,1984300
2013-09,Streets and Roadways,63505000,,44275000
2014-01,Streets and Roadways,93505000,30000000,44275000
2014-05,Streets and Roadways,93505000,0,44275000
2015-02,Streets and Roadways,82194000,-11311000,44275000
2015-08,Streets and Roadways,81194000,-1000000,44275000
2014-01,Wastewater Treatment,476623871,12833132,-14341168
2016-01,Streets and Roadways,83179000,1985000,44275000
2016-06,Streets and Roadways,104338000,21159000,44275000
2016-11,Streets and Roadways,103550000,-788000,44275000
2017-04,Streets and Roadways,107649000,4099000,44275000
2017-09,Streets and Roadways,107780000,131000,44275000
2018-03,Streets and Roadways,107780000,0,44275000
2013-09,Libraries,27328000,,17708530
2014-01,Libraries,27553000,225000,17708530
2014-05,Libraries,27328000,-225000,17708530
2015-02,Libraries,35209000,7881000,17708530
2014-05,Wastewater Treatment,441193700,-35430171,-14341168
2015-08,Libraries,38504000,3295000,17708530
2016-01,Libraries,38504000,0,17708530
2016-06,Libraries,39409000,905000,17708530
2016-11,Libraries,43203000,3794000,17708530
2017-04,Libraries,43203000,0,17708530
2017-09,Libraries,46749000,3546000,17708530
2018-03,Libraries,45036530,-1712470,17708530
2013-09,Water Supply,60208000,,-13726000
2014-01,Water Supply,60208000,0,-13726000
2014-05,Water Supply,60318000,110000,-13726000
2015-02,Wastewater Treatment,478675877,37482177,-14341168
2015-02,Water Supply,59956000,-362000,-13726000
2015-08,Water Supply,60802000,846000,-13726000
2016-01,Water Supply,60802000,0,-13726000
2016-06,Water Supply,60663000,-139000,-13726000
2016-11,Water Supply,49477000,-11186000,-13726000
2018-03,Water Supply,46482000,0,-13726000
2015-02,Water Supply,50749000,96000,14929000
2015-08,Water Supply,50873000,124000,14929000
2016-01,Water Supply,53185000,2312000,14929000
2016-06,Water Supply,53824000,639000,14929000
2017-09,Wastewater Treatment,175128410,950994,-9736936
2015-08,Wastewater Treatment,479781786,1105909,-14341168
2016-11,Water Supply,71914000,18090000,14929000
2017-04,Water Supply,66654000,-5260000,14929000
2017-09,Water Supply,65582000,-1072000,14929000
2018-03,Water Supply,65582000,0,14929000
2014-01,Sewers,33473000,0,34830000
2014-05,Sewers,33553000,80000,34830000
2015-02,Sewers,33889000,336000,34830000
2015-08,Sewers,66644000,32755000,34830000
2016-01,Sewers,66644000,0,34830000
2016-06,Sewers,66694000,50000,34830000
2016-01,Wastewater Treatment,447872305,-31909481,-14341168
2016-11,Sewers,66601000,-93000,34830000
2017-04,Sewers,68682000,2081000,34830000
2017-09,Sewers,68303000,-379000,34830000
2018-03,Arts and Culture,76040000,0,15000
2018-03,Sewers,68303000,0,34830000
2013-09,Sewers,330000000,,-109046246
2014-01,Sewers,161923532,-168076468,-109046246
2014-05,Sewers,184905933,22982401,-109046246
2015-02,Sewers,387902478,202996545,-109046246
2015-08,Sewers,330000000,-57902478,-109046246
2016-06,Wastewater Treatment,447943227,70922,-14341168
2016-01,Sewers,378000000,48000000,-109046246
2016-06,Sewers,330000000,-48000000,-109046246
2016-11,Sewers,330000000,0,-109046246
2017-04,Sewers,206383269,-123616731,-109046246
2017-09,Sewers,212613269,6230000,-109046246
2018-03,Sewers,220953754,8340485,-109046246
2013-09,IT,748878284,,15184947
2014-01,IT,748878284,0,15184947
2014-05,IT,748878284,0,15184947
2015-02,IT,764063231,15184947,15184947
2016-11,Wastewater Treatment,451609323,3666095,-14341168
2015-08,IT,764063231,0,15184947
2016-01,IT,764063231,0,15184947
2016-06,IT,764063231,0,15184947
2016-11,IT,764063231,0,15184947
2017-04,IT,764063231,0,15184947
2017-09,IT,764063231,0,15184947
2018-03,IT,764063231,0,15184947
2013-09,Water Supply,189021811,,16438674
2014-01,Water Supply,188578811,-443000,16438674
2014-05,Water Supply,223221213,34642402,16438674
2017-04,Wastewater Treatment,477952273,26342951,-14341168
2015-02,Water Supply,226724491,3503278,16438674
2015-08,Water Supply,195762213,-30962278,16438674
2016-01,Water Supply,195807563,45350,16438674
2016-06,Water Supply,201363038,5555475,16438674
2016-11,Water Supply,205536850,4173812,16438674
2017-04,Water Supply,204690536,-846314,16438674
2017-09,Water Supply,205401376,710840,16438674
2018-03,Water Supply,205460485,59109,16438674
2013-09,Water Supply,37477201,,27046024
2014-01,Water Supply,46953495,9476294,27046024
2017-09,Wastewater Treatment,449422103,-28530170,-14341168
2014-05,Water Supply,47017495,64000,27046024
2015-02,Water Supply,45648239,-1369256,27046024
2015-08,Water Supply,45128381,-519858,27046024
2016-01,Water Supply,49413678,4285297,27046024
2016-06,Water Supply,50258630,844952,27046024
2016-11,Water Supply,53848013,3589383,27046024
2017-04,Water Supply,65207241,11359228,27046024
2017-09,Water Supply,65790425,583184,27046024
2018-03,Water Supply,64523225,-1267200,27046024
2013-09,Water Supply,705914042,,183751333
2018-03,Wastewater Treatment,449449571,27467,-14341168
2014-01,Water Supply,705942366,28324,183751333
2014-05,Water Supply,705669366,-273000,183751333
2015-02,Water Supply,731257855,25588489,183751333
2015-08,Water Supply,866526960,135269105,183751333
2016-01,Water Supply,852452143,-14074817,183751333
2016-06,Water Supply,872623279,20171136,183751333
2016-11,Water Supply,874643998,2020719,183751333
2017-04,Water Supply,902209764,27565766,183751333
2017-09,Water Supply,887887354,-14322409,183751333
2018-03,Water Supply,889665375,1778020,183751333
2013-09,Water Supply,243648927,,25965126
2013-09,Wastewater Treatment,2350758929,,278326782
2014-01,Wastewater Treatment,2372050993,21292064,278326782
2014-05,Wastewater Treatment,2522649921,150598928,278326782
2015-02,Wastewater Treatment,2551454556,28804635,278326782
2015-08,Wastewater Treatment,2467666085,-83788471,278326782
2016-01,Wastewater Treatment,2594050594,126384509,278326782
2016-06,Wastewater Treatment,2604881557,10830963,278326782
2016-11,Wastewater Treatment,2618132213,13250656,278326782
2014-05,Sewers,24689000,,101585000
2017-04,Wastewater Treatment,2618596380,464167,278326782
2014-01,Water Supply,250290726,6641800,25965126
2017-09,Wastewater Treatment,2631660649,13064269,278326782
2018-03,Wastewater Treatment,2629085711,-2574938,278326782
2014-01,Water Supply,25664338,,9761917
2014-05,Water Supply,27450408,1786070,9761917
2015-02,Water Supply,28206030,755622,9761917
2015-08,Water Supply,28963828,757798,9761917
2016-01,Water Supply,30177544,1213717,9761917
2016-06,Water Supply,31095034,917489,9761917
2016-11,Water Supply,31660474,565441,9761917
2017-04,Water Supply,32101507,441033,9761917
2014-05,Water Supply,257698200,7407474,25965126
2017-09,Water Supply,33376211,1274704,9761917
2018-03,Water Supply,35426255,2050044,9761917
2014-01,Wastewater Treatment,152982920,,80445786
2014-05,Wastewater Treatment,156362904,3379984,80445786
2015-02,Wastewater Treatment,154456595,-1906309,80445786
2015-08,Wastewater Treatment,194860876,40404281,80445786
2016-01,Wastewater Treatment,220178933,25318057,80445786
2016-06,Wastewater Treatment,225333917,5154984,80445786
2016-11,Wastewater Treatment,237947280,12613363,80445786
2017-04,Wastewater Treatment,225161153,-12786127,80445786
2018-03,Wastewater Treatment,175159424,31015,-9736936
2015-02,Water Supply,276909575,19211375,25965126
2017-09,Wastewater Treatment,228432457,3271304,80445786
2018-03,Wastewater Treatment,233428706,4996249,80445786
2014-05,Water Supply,22687000,,35080000
2015-02,Water Supply,58858000,36171000,35080000
2015-08,Water Supply,58540000,-318000,35080000
2016-01,Water Supply,57375000,-1165000,35080000
2016-06,Water Supply,57565000,190000,35080000
2016-11,Water Supply,57749000,184000,35080000
2017-04,Water Supply,57743000,-6000,35080000
2016-11,Bridges,105940085,3605491,-10949063
2015-08,Water Supply,267657978,-9251597,25965126
2017-09,Water Supply,57767000,24000,35080000
2018-03,Water Supply,57767000,0,35080000
2014-05,Streets and Roadways,27925000,,6151000
2015-02,Streets and Roadways,27802000,-123000,6151000
2015-08,Streets and Roadways,27213000,-589000,6151000
2016-01,Streets and Roadways,32342000,5129000,6151000
2016-06,Streets and Roadways,30879000,-1463000,6151000
2016-11,Streets and Roadways,32952000,2073000,6151000
2017-04,Streets and Roadways,32952000,0,6151000
2017-09,Streets and Roadways,34076000,1124000,6151000
2016-01,Water Supply,271699221,4041243,25965126
2018-03,Streets and Roadways,34076000,0,6151000
2014-05,Arts and Culture,76025000,,15000
2015-02,Arts and Culture,76540000,515000,15000
2015-08,Arts and Culture,76540000,0,15000
2016-01,Arts and Culture,76540000,0,15000
2016-06,Arts and Culture,76540000,0,15000
2016-11,Arts and Culture,76040000,-500000,15000
2017-04,Arts and Culture,76040000,0,15000
2017-09,Arts and Culture,76040000,0,15000
2015-08,Sewers,95366000,41119000,101585000
2016-06,Water Supply,271699221,0,25965126
2016-01,Sewers,95653000,287000,101585000
2016-06,Sewers,125932000,30279000,101585000
2016-11,Sewers,126541891,609891,101585000
2017-04,Sewers,126393000,-148891,101585000
2017-09,Sewers,126274000,-119000,101585000
2018-03,Sewers,126274000,0,101585000
2015-02,"Parks, Streets and Roadways",104845547,,-134936
2015-08,"Parks, Streets and Roadways",104845547,0,-134936
2016-01,"Parks, Streets and Roadways",104845547,0,-134936
2016-06,"Parks, Streets and Roadways",104568179,-277368,-134936
2016-11,Water Supply,270859275,-839946,25965126
2016-11,"Parks, Streets and Roadways",104845547,277368,-134936
2017-04,"Parks, Streets and Roadways",100602826,-4242721,-134936
2017-09,"Parks, Streets and Roadways",104945547,4342721,-134936
2018-03,"Parks, Streets and Roadways",104710611,-234936,-134936
2015-02,Schools,106121882,,26546912
2015-08,Schools,113802243,7680361,26546912
2016-01,Schools,115315217,1512974,26546912
2016-06,Schools,116313880,998663,26546912
2016-11,Schools,119092219,2778339,26546912
2017-04,Schools,118987076,-105143,26546912
2017-04,Water Supply,267581016,-3278260,25965126
2017-09,Bridges,90271620,-16319074,-10949063
2018-03,Bridges,91385531,1113911,-10949063
2015-02,Wastewater Treatment,51196478,,-693765
2015-08,Wastewater Treatment,42918306,-8278172,-693765
2016-01,Wastewater Treatment,44670495,1752189,-693765
2016-06,Wastewater Treatment,35199444,-9471051,-693765
2016-11,Wastewater Treatment,56619791,21420347,-693765
2017-04,Wastewater Treatment,56470712,-149079,-693765
2017-09,Wastewater Treatment,56470712,0,-693765
2018-03,Wastewater Treatment,50502713,-5967999,-693765
2017-09,Water Supply,268146760,565744,25965126
2016-06,Water Supply,58800000,0,-9262080
2016-11,Water Supply,61439197,2639197,-9262080
2017-04,Water Supply,34306267,-27132930,-9262080
2017-09,Water Supply,40898507,6592240,-9262080
2018-03,Water Supply,49537920,8639413,-9262080
2016-06,Wastewater Treatment,44206645,-7155355,2627498
2016-11,Wastewater Treatment,47273291,3066646,2627498
2017-04,Wastewater Treatment,43164077,-4109214,2627498
2017-09,Wastewater Treatment,54063510,10899433,2627498
2018-03,Wastewater Treatment,53989498,-74012,2627498
2018-03,Water Supply,269614053,1467293,25965126
2017-04,Wastewater Treatment,46456631,0,33043369
2017-09,Wastewater Treatment,68456631,22000000,33043369
2018-03,Wastewater Treatment,79500000,11043369,33043369
2015-08,Water Supply,46802000,,544000
2016-01,Water Supply,46802000,0,544000
2016-06,Water Supply,46982000,180000,544000
2016-11,Water Supply,47184462,202462,544000
2017-04,Water Supply,47144000,-40462,544000
2017-09,Water Supply,47346000,202000,544000
2018-03,Water Supply,47346000,0,544000
2013-09,Parks,60000000,,0
2015-08,Water Supply,16378000,,20118000
2016-01,Water Supply,36085000,19707000,20118000
2016-06,Water Supply,35722000,-363000,20118000
2016-11,Water Supply,35677000,-45000,20118000
2017-04,Water Supply,35677000,0,20118000
2017-09,Water Supply,36496000,819000,20118000
2018-03,Water Supply,36496000,0,20118000
2016-11,Schools,98580318,-35297174,7008397
2017-04,Schools,104462311,5881993,7008397
2018-03,Schools,104743320,281009,7008397
2014-01,Parks,46487967,-13512033,0
2015-08,Public Safety and Criminal Justice,41925000,,1729000
2016-01,Public Safety and Criminal Justice,42125000,200000,1729000
2016-06,Public Safety and Criminal Justice,43375000,1250000,1729000
2016-11,Public Safety and Criminal Justice,43528000,153000,1729000
2017-04,Public Safety and Criminal Justice,43718000,190000,1729000
2017-09,Public Safety and Criminal Justice,43648000,-70000,1729000
2018-03,Public Safety and Criminal Justice,43654000,6000,1729000
2015-08,Streets and Roadways,26798900,,143608000
2016-06,Streets and Roadways,190799900,164001000,143608000
2017-04,Streets and Roadways,20459141,-903000,38282141
2013-09,Wastewater Treatment,165677950,,-35664433
2014-05,Parks,46487967,0,0
2017-09,Streets and Roadways,57959141,37500000,38282141
2016-11,Streets and Roadways,190217900,-582000,143608000
2017-04,Streets and Roadways,190406900,189000,143608000
2017-09,Streets and Roadways,171463900,-18943000,143608000
2018-03,Streets and Roadways,170406900,-1057000,143608000
2016-06,Streets and Roadways,17770000,350000,38282141
2016-11,Streets and Roadways,21362141,3592141,38282141
2016-06,Schools,58552774,2119646,5259055
2018-03,Streets and Roadways,55702141,-2257000,38282141
2015-08,Streets and Roadways,32591000,,10365000
2015-02,Parks,60171327,13683360,0
2016-01,Streets and Roadways,32491000,-100000,10365000
2016-06,Streets and Roadways,32721000,230000,10365000
2016-11,Streets and Roadways,44996000,12275000,10365000
2017-04,Streets and Roadways,52972000,7976000,10365000
2017-09,Streets and Roadways,32727000,-20245000,10365000
2018-03,Streets and Roadways,42956000,10229000,10365000
2016-06,Streets and Roadways,32330000,500000,7266733
2016-11,Streets and Roadways,29876000,-2454000,7266733
2017-04,Streets and Roadways,30747681,871681,7266733
2017-09,Streets and Roadways,37786199,7038518,7266733
2015-08,Parks,65849016,5677689,0
2018-03,Streets and Roadways,39096733,1310534,7266733
2015-08,Streets and Roadways,24248000,,3725000
2016-11,Schools,58481794,-70980,5259055
2016-01,Streets and Roadways,24278000,30000,3725000
2016-06,Streets and Roadways,24768000,490000,3725000
2016-11,Streets and Roadways,33105000,8337000,3725000
2017-04,Streets and Roadways,28591000,-4514000,3725000
2017-09,Streets and Roadways,27973000,-618000,3725000
2018-03,Streets and Roadways,27973000,0,3725000
2016-06,Streets and Roadways,63329000,24855000,25600000
2016-01,Parks,60000000,-5849016,0
2016-11,Streets and Roadways,63254000,-75000,25600000
2017-04,Streets and Roadways,63554000,300000,25600000
2017-09,Streets and Roadways,64074000,520000,25600000
2018-03,Streets and Roadways,64074000,0,25600000
2016-11,Streets and Roadways,84895600,-31920000,-94275600
2017-04,Streets and Roadways,53661000,-31234600,-94275600
2017-09,Streets and Roadways,53427600,-233400,-94275600
2017-04,Parks,3338260,-22553164,0
2018-03,Streets and Roadways,22540000,-30887600,-94275600
2016-01,Water Supply,227874512,,16647359
2016-06,Parks,60000000,0,0
2016-06,Water Supply,187040468,-40834044,16647359
2016-11,Water Supply,186745174,-295294,16647359
2017-04,Water Supply,243639057,56893883,16647359
2017-09,Water Supply,245306804,1667747,16647359
2018-03,Water Supply,244521871,-784933,16647359
2016-01,Industrial Development,100000000,,29898000
2016-06,Industrial Development,100000000,0,29898000
2016-11,Industrial Development,100000000,0,29898000
2017-04,Industrial Development,100000000,0,29898000
2017-09,Industrial Development,108500000,8500000,29898000
2016-11,Parks,60000000,0,0
2018-03,Industrial Development,129898000,21398000,29898000
2016-01,Parks,25891424,,0
2016-06,Parks,25891424,0,0
2016-11,Parks,25891424,0,0
2017-09,Parks,25891424,22553164,0
2018-03,Parks,25891424,0,0
2016-01,Industrial Development,133975826,,0
2016-06,Industrial Development,133975826,0,0
2016-11,Industrial Development,167264872,33289046,0
2017-04,Industrial Development,21198989,-146065883,0
2017-04,Parks,37452289,-22547711,0
2017-09,Industrial Development,149084373,127885384,0
2018-03,Industrial Development,133975826,-15108547,0
2016-01,Arts and Culture,34527991,,-1694778
2016-06,Arts and Culture,34527991,0,-1694778
2016-11,Arts and Culture,34527721,-270,-1694778
2017-04,Arts and Culture,7326031,-27201690,-1694778
2017-09,Arts and Culture,32833212,25507181,-1694778
2018-03,Arts and Culture,32833212,0,-1694778
2016-01,Schools,27288210,,-680318
2016-06,Schools,27289346,1136,-680318
2017-09,Parks,60000000,22547711,0
2016-11,Schools,22531541,-4757805,-680318
2017-04,Schools,22985334,453793,-680318
2018-03,Schools,26607892,3622558,-680318
2016-01,Schools,87410972,,-10113131
2016-06,Schools,87754218,343246,-10113131
2016-11,Schools,82020177,-5734041,-10113131
2017-04,Schools,73617470,-8402707,-10113131
2018-03,Schools,77297841,3680371,-10113131
2016-01,Schools,56433128,,5259055
2017-04,Schools,59605507,1123713,5259055
2018-03,Parks,60000000,0,0
2018-03,Schools,61692183,2086676,5259055
2016-01,Schools,108664323,,1741262
2016-06,Schools,108762425,98102,1741262
2016-11,Schools,106671169,-2091256,1741262
2017-04,Schools,106777173,106004,1741262
2018-03,Schools,110405585,3628412,1741262
2016-01,Schools,53818487,,30064183
2016-06,Schools,70987890,17169403,30064183
2016-11,Schools,76168808,5180918,30064183
2017-04,Schools,98582881,22414073,30064183
2013-09,Parks,151346238,,18216708
2018-03,Schools,83882670,-14700211,30064183
2016-01,Schools,69359985,,4234657
2016-06,Schools,72212529,2852544,4234657
2016-11,Schools,69038114,-3174415,4234657
2017-04,Schools,86062515,17024401,4234657
2018-03,Schools,73594642,-12467873,4234657
2016-01,Schools,107408992,,-7411755
2016-06,Schools,121566544,14157552,-7411755
2016-11,Schools,103560400,-18006144,-7411755
2017-04,Schools,100306281,-3254119,-7411755
